time_series,traffic_status,geometry
2023-01-03 15:00:00,0,"LINESTRING (46.7909474 24.7323558, 46.7918527 24.7329254)"
2023-01-04 07:00:00,2,"LINESTRING (24.8220204 46.8838151, 24.821923 46.8837439)"
2023-01-04 08:00:00,2,"LINESTRING (24.7521562 46.8228415, 24.7522154 46.8229367)"
2023-01-04 08:00:00,2,"LINESTRING (24.7948495 46.8638614, 24.7938616 46.8631253)"
2023-01-04 08:00:00,2,"LINESTRING (24.8232319 46.8847019, 24.8220204 46.8838151)"
2023-01-04 12:00:00,0,"LINESTRING (46.7891187 24.731209, 46.7893827 24.7313713)"
2023-01-04 12:00:00,0,"LINESTRING (46.9928184 24.9296345, 46.9930028 24.930061, 46.9930648 24.9301983)"
2023-01-04 16:00:00,2,"LINESTRING (24.7363104 46.7963661, 24.7362403 46.7962479)"
2023-01-05 09:00:00,0,"LINESTRING (46.8548477 24.7828004, 46.8541396 24.7818508, 46.8539308 24.7815634)"
2023-01-05 09:00:00,0,"LINESTRING (46.8120098 24.7461136, 46.8113865 24.7457135)"
2023-01-05 09:00:00,0,"LINESTRING (46.9926885 24.9296778, 46.9926506 24.9295898)"
2023-01-05 15:00:00,2,"LINESTRING (24.7955605 46.8646304, 24.7958032 46.8648155)"
2023-01-05 17:00:00,2,"LINESTRING (24.6852666 46.7042423, 24.6865356 46.7073914)"
2023-01-05 21:00:00,2,"LINESTRING (24.7575505 46.8314839, 24.7576775 46.8317116)"
2023-01-06 18:00:00,0,"LINESTRING (46.7728381 24.6952013, 46.7730454 24.6946562)"
2023-01-06 18:00:00,0,"LINESTRING (46.8476768 24.7728471, 46.8479083 24.7731853, 46.8509384 24.7771913, 46.8513114 24.7777001, 46.8523316 24.7790917, 46.8541037 24.7814899)"
2023-01-06 18:00:00,0,"LINESTRING (46.7872368 24.7300587, 46.7872727 24.7300807)"
2023-01-06 18:00:00,0,"LINESTRING (46.8178191 24.749641, 46.8164546 24.7488848)"
2023-01-06 20:00:00,2,"LINESTRING (24.7382418 46.8004863, 24.7383321 46.8006352)"
2023-01-06 20:00:00,2,"LINESTRING (24.7002114 46.7708077, 24.7000773 46.7708718)"
2023-01-06 20:00:00,2,"LINESTRING (24.7304747 46.7869497, 24.7303579 46.7867668)"
2023-01-06 21:00:00,2,"LINESTRING (24.6757828 46.6813645, 24.6758238 46.6815619)"
2023-01-06 22:00:00,2,"LINESTRING (24.7231829 46.7762386, 24.7244933 46.7782849)"
2023-01-06 22:00:00,2,"LINESTRING (24.6774546 46.6852374, 24.6771337 46.6846232)"
2023-01-07 18:00:00,0,"LINESTRING (46.9519529 24.8819408, 46.9535548 24.8836582, 46.9559652 24.8863117)"
2023-01-07 21:00:00,0,"LINESTRING (46.6800193 24.6754698, 46.6800979 24.6754803, 46.6810279 24.6756881)"
2023-01-07 23:00:00,2,"LINESTRING (24.731883 46.7892511, 24.7318131 46.789139)"
2023-01-08 09:00:00,0,"LINESTRING (46.6266172 24.6685008, 46.6331268 24.6702834, 46.6351025 24.671013, 46.6360263 24.6714144, 46.6371726 24.6722488, 46.6385139 24.6737797)"
2023-01-08 09:00:00,0,"LINESTRING (46.7695538 24.7190167, 46.7697284 24.719129, 46.7699065 24.7192436, 46.7701574 24.719405)"
2023-01-08 12:00:00,2,"LINESTRING (24.7339677 46.7935092, 24.7340063 46.7935704)"
2023-01-08 12:00:00,2,"LINESTRING (24.7017402 46.7410508, 24.7006742 46.7394469)"
2023-01-08 12:00:00,2,"LINESTRING (24.6824623 46.7766879, 24.6815874 46.7768457)"
2023-01-08 13:00:00,2,"LINESTRING (24.6870587 46.7086809, 24.6873391 46.7095315)"
2023-01-08 13:00:00,2,"LINESTRING (24.7400282 46.8023184, 24.7398931 46.802124)"
2023-01-08 13:00:00,2,"LINESTRING (24.6932111 46.7223672, 24.6933745 46.7230646)"
2023-01-08 17:00:00,2,"LINESTRING (24.7171224 46.7665862, 24.7182563 46.7683718)"
2023-01-09 06:00:00,2,"LINESTRING (24.7215706 46.7726864, 24.7212889 46.7722317)"
2023-01-09 11:00:00,2,"LINESTRING (24.7354756 46.7960289, 24.7358802 46.796706)"
2023-01-09 14:00:00,0,"LINESTRING (46.8359062 24.760712, 46.8352462 24.7602872, 46.8312282 24.7578141)"
2023-01-09 17:00:00,0,"LINESTRING (46.8824314 24.8198033, 46.8830069 24.8205895, 46.8832934 24.820981, 46.8839113 24.8218251)"
2023-01-10 08:00:00,2,"LINESTRING (24.9301983 46.9930648, 24.9305776 46.9932056)"
2023-01-10 09:00:00,0,"LINESTRING (46.7530625 24.7093262, 46.7525796 24.70902)"
2023-01-10 11:00:00,2,"LINESTRING (24.6757015 46.6788622, 24.6756528 46.6783115)"
2023-01-10 17:00:00,2,"LINESTRING (24.7682321 46.8376446, 24.7681586 46.8376458)"
2023-01-10 17:00:00,2,"LINESTRING (24.695845 46.7320459, 24.6957796 46.731838)"
2023-01-10 17:00:00,2,"LINESTRING (24.6756881 46.6810279, 24.6757828 46.6813645)"
2023-01-11 07:00:00,0,"LINESTRING (46.794121 24.7343353, 46.7960289 24.7354756)"
2023-01-11 11:00:00,0,"LINESTRING (46.63846 24.674298, 46.6381682 24.6738612, 46.637885 24.6734947, 46.6374472 24.6730189, 46.6369923 24.6725899, 46.6365975 24.6722467, 46.6361426 24.6719348, 46.6356534 24.6716462, 46.6351212 24.671381, 46.6345376 24.6711314, 46.6338794 24.670856)"
2023-01-11 12:00:00,2,"LINESTRING (24.6685008 46.6266172, 24.6702834 46.6331268)"
2023-01-11 15:00:00,2,"LINESTRING (24.7000425 46.7385328, 24.6993939 46.7375941)"
2023-01-11 17:00:00,0,"LINESTRING (46.8835727 24.8216892, 46.8829239 24.8208029, 46.8818186 24.8192929)"
2023-01-12 08:00:00,2,"LINESTRING (24.6773979 46.6856339, 24.6780591 46.687205)"
2023-01-12 21:00:00,2,"LINESTRING (24.7269779 46.7549399, 24.7268346 46.7550114)"
2023-01-13 18:00:00,2,"LINESTRING (24.8822746 46.9520083, 24.8769373 46.9470261)"
2023-01-13 20:00:00,2,"LINESTRING (24.7362403 46.7962479, 24.7351423 46.794486)"
2023-01-13 20:00:00,2,"LINESTRING (24.7266145 46.7817024, 24.7271397 46.7825465)"
2023-01-13 20:00:00,2,"LINESTRING (24.731209 46.7891187, 24.7313713 46.7893827)"
2023-01-13 21:00:00,2,"LINESTRING (24.7382418 46.8004863, 24.7383321 46.8006352)"
2023-01-13 21:00:00,2,"LINESTRING (24.7298546 46.7869226, 24.729936 46.7870376)"
2023-01-13 22:00:00,2,"LINESTRING (24.6824623 46.7766879, 24.6815874 46.7768457)"
2023-01-14 18:00:00,2,"LINESTRING (24.6687947 46.6264144, 24.6684288 46.6252143)"
2023-01-14 18:00:00,2,"LINESTRING (24.688 46.7755207, 24.6872571 46.7757041)"
2023-01-14 18:00:00,2,"LINESTRING (24.81315 46.8775717, 24.8134947 46.8778274)"
2023-01-14 18:00:00,2,"LINESTRING (24.6926502 46.7188379, 24.692502 46.7182331)"
2023-01-14 21:00:00,2,"LINESTRING (24.6766588 46.68332, 24.6765196 46.6828645)"
2023-01-14 21:00:00,2,"LINESTRING (24.6752866 46.6719771, 24.6752045 46.6710126)"
2023-01-14 22:00:00,2,"LINESTRING (24.7917539 46.8617958, 24.7923056 46.8622112)"
2023-01-14 22:00:00,2,"LINESTRING (24.7300807 46.7872727, 24.7302447 46.7875051)"
2023-01-14 22:00:00,2,"LINESTRING (24.7319722 46.7903348, 24.732059 46.7904757)"
2023-01-14 23:00:00,2,"LINESTRING (24.7347559 46.793866, 24.7340487 46.7927293)"
2023-01-15 06:00:00,1,"LINESTRING (46.87913 24.8152863, 46.8792941 24.8155095, 46.8795186 24.815815)"
2023-01-15 06:00:00,1,"LINESTRING (46.615242 24.6634101, 46.6166408 24.6642677, 46.6180493 24.6650558, 46.6189231 24.6655102)"
2023-01-15 09:00:00,2,"LINESTRING (24.7563102 46.8285911, 24.7562429 46.8284831)"
2023-01-15 11:00:00,2,"LINESTRING (24.7472867 46.8138556, 24.747102 46.8135604)"
2023-01-15 12:00:00,2,"LINESTRING (24.8278162 46.8883018, 24.8321261 46.8914894)"
2023-01-15 13:00:00,2,"LINESTRING (24.704389 46.7451073, 24.7042594 46.7449066)"
2023-01-15 15:00:00,0,"LINESTRING (46.8788832 24.8152779, 46.8732122 24.8074996, 46.871628 24.8053512)"
2023-01-15 16:00:00,0,"LINESTRING (46.8210408 24.7510359, 46.8213226 24.7512112, 46.8221012 24.7516956, 46.8228415 24.7521562)"
2023-01-15 16:00:00,0,"LINESTRING (46.6826581 24.6765885, 46.6819946 24.6763988)"
2023-01-15 18:00:00,2,"LINESTRING (24.7948495 46.8638614, 24.7938616 46.8631253)"
2023-01-16 08:00:00,0,"LINESTRING (46.7991408 24.7380373, 46.7981766 24.7374375)"
2023-01-16 12:00:00,0,"LINESTRING (46.864561 24.7954666, 46.8646304 24.7955605)"
2023-01-16 13:00:00,2,"LINESTRING (24.6934046 46.723214, 24.6934163 46.7233137)"
2023-01-16 15:00:00,2,"LINESTRING (24.7510359 46.8210408, 24.7512112 46.8213226)"
2023-01-17 08:00:00,0,"LINESTRING (46.9202629 24.8562238, 46.927506 24.8617251, 46.9353161 24.8676664, 46.9411421 24.8720956, 46.9453495 24.8753207)"
2023-01-17 12:00:00,0,"LINESTRING (46.7962479 24.7362403, 46.794486 24.7351423)"
2023-01-17 14:00:00,2,"LINESTRING (24.6341202 46.5848382, 24.6347986 46.585338)"
2023-01-17 15:00:00,0,"LINESTRING (46.7731132 24.7216126, 46.7678352 24.7183657)"
2023-01-18 07:00:00,0,"LINESTRING (46.8366861 24.7609373, 46.8375377 24.7613849, 46.837916 24.7615793, 46.8383645 24.7617392, 46.8387809 24.7618352, 46.8392614 24.7618773, 46.8397813 24.7618844, 46.8406496 24.7618803, 46.8414893 24.7618574, 46.8418707 24.7618262, 46.8424299 24.7617276)"
2023-01-18 11:00:00,2,"LINESTRING (24.7243373 46.7563087, 24.7232658 46.7568452)"
2023-01-18 12:00:00,2,"LINESTRING (24.747102 46.8135604, 24.7461853 46.8121171)"
2023-01-18 13:00:00,2,"LINESTRING (24.7259863 46.7554349, 24.7249399 46.7559969)"
2023-01-18 15:00:00,2,"LINESTRING (24.6937349 46.7231419, 24.6937119 46.7230392)"
2023-01-19 12:00:00,0,"LINESTRING (46.8375831 24.7650945, 46.8376153 24.7649018, 46.8377065 24.7644756, 46.8378218 24.763986, 46.8378454 24.7637463, 46.8378459 24.7635574, 46.8378365 24.7632444, 46.8377789 24.7629607, 46.837731 24.7627619, 46.8376671 24.7625923, 46.8374911 24.7622289, 46.837402 24.7621003, 46.8372618 24.7619046, 46.8371582 24.7617718, 46.8368468 24.7614695, 46.8365407 24.7612464, 46.8362549 24.7610233, 46.8359062 24.760712)"
2023-01-19 14:00:00,0,"LINESTRING (46.7817024 24.7266145, 46.7825465 24.7271397, 46.7828053 24.7272946, 46.7833585 24.7276425)"
2023-01-19 15:00:00,2,"LINESTRING (24.7294407 46.786262, 24.7297036 46.7866839)"
2023-01-20 18:00:00,2,"LINESTRING (24.670856 46.6338794, 24.6687947 46.6264144)"
2023-01-20 18:00:00,2,"LINESTRING (24.7277984 46.7836267, 24.7288073 46.7852456)"
2023-01-20 20:00:00,1,"LINESTRING (46.8713201 24.8049337, 46.8661527 24.797926, 46.8644679 24.7956653)"
2023-01-20 21:00:00,0,"LINESTRING (46.7918994 24.7335324, 46.7910191 24.7329848)"
2023-01-20 22:00:00,1,"LINESTRING (46.8240003 24.7535743, 46.8223084 24.7525319, 46.8210734 24.7517711, 46.8206516 24.7515112)"
2023-01-20 23:00:00,1,"LINESTRING (46.7875051 24.7302447, 46.7885666 24.7308791)"
2023-01-20 23:00:00,1,"LINESTRING (46.7305308 24.6951512, 46.7304005 24.6951313, 46.7295251 24.6949281, 46.7272543 24.6944826, 46.7269651 24.6944284, 46.7265025 24.6943417)"
2023-01-21 18:00:00,2,"LINESTRING (24.6774167 46.6849048, 24.6770039 46.6838803)"
2023-01-21 18:00:00,2,"LINESTRING (24.7321653 46.7523533, 24.7318856 46.7524933)"
2023-01-21 18:00:00,2,"LINESTRING (24.6548183 46.6009414, 24.6543462 46.6002025)"
2023-01-21 18:00:00,2,"LINESTRING (24.6687947 46.6264144, 24.6684288 46.6252143)"
2023-01-21 18:00:00,2,"LINESTRING (24.6793002 46.6874851, 24.6790491 46.6873467)"
2023-01-21 20:00:00,2,"LINESTRING (24.7937287 46.8632825, 24.7949994 46.864223)"
2023-01-21 20:00:00,2,"LINESTRING (24.7369992 46.7984679, 24.7376591 46.7995113)"
2023-01-21 22:00:00,0,"LINESTRING (46.7922016 24.7337204, 46.7918994 24.7335324)"
2023-01-21 22:00:00,0,"LINESTRING (46.7872727 24.7300807, 46.7875051 24.7302447)"
2023-01-22 07:00:00,2,"LINESTRING (24.7430529 46.8082198, 24.7432285 46.8085076)"
2023-01-22 09:00:00,0,"LINESTRING (46.7827603 24.7276334, 46.7801192 24.7259883, 46.7771622 24.7241404)"
2023-01-22 13:00:00,2,"LINESTRING (24.7302447 46.7875051, 24.7308791 46.7885666)"
2023-01-22 15:00:00,2,"LINESTRING (24.635311 46.5857136, 24.6355925 46.58592)"
2023-01-22 17:00:00,2,"LINESTRING (24.8198033 46.8824314, 24.8205895 46.8830069)"
2023-01-23 07:00:00,0,"LINESTRING (46.865133 24.7962304, 46.8663203 24.7978283, 46.8671482 24.7989512, 46.8675306 24.7994697, 46.8690175 24.801486, 46.8692016 24.8017357, 46.8693506 24.8019378)"
2023-01-23 07:00:00,0,"LINESTRING (46.7995113 24.7376591, 46.7998682 24.7378718)"
2023-01-23 08:00:00,2,"LINESTRING (24.7448405 46.811149, 24.7448846 46.8112141)"
2023-01-23 08:00:00,2,"LINESTRING (24.7247489 46.7786968, 24.7247768 46.7787417)"
2023-01-23 10:00:00,0,"LINESTRING (46.7470443 24.7056056, 46.7469162 24.7055244, 46.7464333 24.7052183)"
2023-01-23 10:00:00,0,"LINESTRING (46.8631253 24.7938616, 46.860642 24.7905276)"
2023-01-23 12:00:00,2,"LINESTRING (24.6764579 46.6832256, 24.6773979 46.6856339)"
2023-01-23 14:00:00,2,"LINESTRING (24.7329848 46.7910191, 24.7328775 46.7908391)"
2023-01-23 15:00:00,2,"LINESTRING (24.704389 46.7451073, 24.7042594 46.7449066)"
2023-01-23 16:00:00,2,"LINESTRING (24.6977473 46.7350835, 24.6965915 46.733313)"
2023-01-24 07:00:00,2,"LINESTRING (24.7359644 46.7968317, 24.7369992 46.7984679)"
2023-01-24 15:00:00,0,"LINESTRING (46.7731132 24.7216126, 46.7678352 24.7183657)"
2023-01-24 15:00:00,0,"LINESTRING (46.766465 24.7071574, 46.766544 24.7070473)"
2023-01-24 16:00:00,2,"LINESTRING (24.7300587 46.7872368, 24.7300807 46.7872727)"
2023-01-24 17:00:00,2,"LINESTRING (24.7249399 46.7559969, 24.7243373 46.7563087)"
2023-01-24 18:00:00,0,"LINESTRING (46.7768626 24.6814947, 46.7769038 24.6812675, 46.7769629 24.6809426, 46.7771546 24.6798872)"
2023-01-24 18:00:00,0,"LINESTRING (46.7995818 24.7383117, 46.7991408 24.7380373)"
2023-01-25 06:00:00,2,"LINESTRING (24.7354756 46.7960289, 24.7358802 46.796706)"
2023-01-25 11:00:00,0,"LINESTRING (46.6748979 24.6754285, 46.6731207 24.6753503)"
2023-01-25 11:00:00,0,"LINESTRING (46.8001263 24.738649, 46.7999545 24.7385427)"
2023-01-25 14:00:00,2,"LINESTRING (24.7956653 46.8644679, 24.7955693 46.8643978)"
2023-01-25 14:00:00,2,"LINESTRING (24.7323861 46.7900621, 24.7323626 46.7900204)"
2023-01-25 15:00:00,2,"LINESTRING (24.731883 46.7892511, 24.7318131 46.789139)"
2023-01-25 17:00:00,0,"LINESTRING (46.7722104 24.720659, 46.77234 24.720733)"
2023-01-25 17:00:00,0,"LINESTRING (46.6856339 24.6773979, 46.687205 24.6780591, 46.6874882 24.6781577)"
2023-01-26 06:00:00,2,"LINESTRING (24.757437 46.8302769, 24.7572576 46.8300085)"
2023-01-26 07:00:00,2,"LINESTRING (24.7448405 46.811149, 24.7448846 46.8112141)"
2023-01-26 11:00:00,2,"LINESTRING (24.6766588 46.68332, 24.6765196 46.6828645)"
2023-01-26 11:00:00,2,"LINESTRING (24.7246581 46.777662, 24.7244286 46.7772938)"
2023-01-26 12:00:00,0,"LINESTRING (46.7892511 24.731883, 46.789139 24.7318131, 46.788225 24.7312433, 46.7881348 24.7311871, 46.787844 24.7310058)"
2023-01-26 16:00:00,2,"LINESTRING (24.6752866 46.6719771, 24.6752045 46.6710126)"
2023-01-26 20:00:00,0,"LINESTRING (46.8286174 24.7557396, 46.8301736 24.756685)"
2023-01-26 20:00:00,0,"LINESTRING (46.8023184 24.7400282, 46.802124 24.7398931, 46.8020186 24.7398276, 46.8003728 24.7388025)"
2023-01-27 18:00:00,0,"LINESTRING (46.796706 24.7358802, 46.7968317 24.7359644)"
2023-01-27 18:00:00,0,"LINESTRING (46.6189231 24.6655102, 46.6193928 24.6657544, 46.6205395 24.6663296)"
2023-01-27 18:00:00,0,"LINESTRING (46.7731132 24.7216126, 46.7678352 24.7183657)"
2023-01-27 18:00:00,0,"LINESTRING (46.7788373 24.7253909, 46.777662 24.7246581)"
2023-01-27 20:00:00,1,"LINESTRING (46.7671106 24.7181156, 46.7665055 24.7177406)"
2023-01-27 21:00:00,2,"LINESTRING (24.6758662 46.6797573, 24.6757405 46.6791464)"
2023-01-27 22:00:00,1,"LINESTRING (46.766544 24.7070473, 46.7671943 24.7061177, 46.7676715 24.7054355, 46.7677561 24.7053145)"
2023-01-27 22:00:00,1,"LINESTRING (46.7852456 24.7288073, 46.7857863 24.7291443)"
2023-01-27 22:00:00,1,"LINESTRING (46.7213863 24.6932888, 46.7212369 24.6932486)"
2023-01-28 18:00:00,0,"LINESTRING (46.8882185 24.8280141, 46.887642 24.8272484, 46.8861645 24.82523)"
2023-01-28 18:00:00,0,"LINESTRING (46.7782849 24.7244933, 46.7785415 24.7246525, 46.7786968 24.7247489)"
2023-01-28 19:00:00,2,"LINESTRING (24.7343353 46.794121, 24.7354756 46.7960289)"
2023-01-28 22:00:00,0,"LINESTRING (46.6789503 24.6752824, 46.6796404 24.6754022, 46.6800193 24.6754698)"
2023-01-28 22:00:00,0,"LINESTRING (46.7968317 24.7359644, 46.7984679 24.7369992)"
2023-01-28 23:00:00,2,"LINESTRING (24.6773979 46.6856339, 24.6780591 46.687205)"
2023-01-29 06:00:00,2,"LINESTRING (24.7160482 46.7647956, 24.7171224 46.7665862)"
2023-01-29 14:00:00,2,"LINESTRING (24.6685008 46.6266172, 24.6702834 46.6331268)"
2023-01-29 18:00:00,0,"LINESTRING (46.793866 24.7347559, 46.7927293 24.7340487)"
2023-01-30 11:00:00,0,"LINESTRING (46.8375831 24.7650945, 46.8376153 24.7649018, 46.8377065 24.7644756, 46.8378218 24.763986, 46.8378454 24.7637463, 46.8378459 24.7635574, 46.8378365 24.7632444, 46.8377789 24.7629607, 46.837731 24.7627619, 46.8376671 24.7625923, 46.8374911 24.7622289, 46.837402 24.7621003, 46.8372618 24.7619046, 46.8371582 24.7617718, 46.8368468 24.7614695, 46.8365407 24.7612464, 46.8362549 24.7610233, 46.8359062 24.760712)"
2023-01-30 15:00:00,0,"LINESTRING (46.8366861 24.7609373, 46.8372254 24.7613033, 46.8379764 24.7618293, 46.8386201 24.7623457, 46.8393282 24.7629107, 46.8400256 24.7635026, 46.8406194 24.7640404)"
2023-01-30 17:00:00,2,"LINESTRING (24.8278162 46.8883018, 24.8321261 46.8914894)"
2023-01-31 08:00:00,2,"LINESTRING (24.6957527 46.731106, 24.6954176 46.7309204)"
2023-01-31 09:00:00,1,"LINESTRING (46.7145174 24.6898796, 46.7140004 24.6893119, 46.7131777 24.6886706, 46.7127292 24.6883899, 46.7124383 24.6882357, 46.7118975 24.6880642, 46.7111937 24.687877, 46.7106278 24.6877399)"
2023-01-31 10:00:00,0,"LINESTRING (46.7867668 24.7303579, 46.7865408 24.7302352)"
2023-01-31 13:00:00,2,"LINESTRING (24.6852666 46.7042423, 24.6865356 46.7073914)"
2023-01-31 13:00:00,2,"LINESTRING (24.7268346 46.7550114, 24.7263873 46.7552336)"
2023-01-31 15:00:00,1,"LINESTRING (46.7305308 24.6951512, 46.7304005 24.6951313, 46.7295251 24.6949281, 46.7272543 24.6944826, 46.7269651 24.6944284, 46.7265025 24.6943417)"
2023-01-31 15:00:00,1,"LINESTRING (46.7493676 24.7066912, 46.750663 24.707497, 46.7549881 24.7101949, 46.7562301 24.7109671, 46.7569355 24.7114081, 46.7575471 24.7117895, 46.7579124 24.7120051)"
2023-01-31 16:00:00,0,"LINESTRING (46.7911527 24.7328607, 46.7870542 24.7303079, 46.7868686 24.7301923, 46.7827603 24.7276334)"
2023-01-31 16:00:00,0,"LINESTRING (46.8643544 24.7951769, 46.864561 24.7954666)"
2023-01-31 18:00:00,0,"LINESTRING (46.8327591 24.7590044, 46.8324978 24.7588418, 46.8317236 24.7583708)"
2023-02-01 08:00:00,0,"LINESTRING (46.7678352 24.7183657, 46.7664015 24.7174214)"
2023-02-01 09:00:00,0,"LINESTRING (46.7995818 24.7383117, 46.7991408 24.7380373)"
2023-02-01 09:00:00,0,"LINESTRING (46.8861645 24.82523, 46.8847019 24.8232319)"
2023-02-01 10:00:00,2,"LINESTRING (24.675941 46.6820274, 24.6762134 46.6829608)"
2023-02-01 16:00:00,2,"LINESTRING (24.7362403 46.7962479, 24.7351423 46.794486)"
2023-02-01 17:00:00,0,"LINESTRING (46.7086809 24.6870587, 46.7095315 24.6873391, 46.7104985 24.6875856)"
2023-02-01 17:00:00,0,"LINESTRING (46.8839827 24.8219226, 46.8842228 24.8222505, 46.885413 24.8238765)"
2023-02-02 06:00:00,2,"LINESTRING (24.6756881 46.6810279, 24.6757828 46.6813645)"
2023-02-02 09:00:00,2,"LINESTRING (24.7448405 46.811149, 24.7448846 46.8112141)"
2023-02-02 10:00:00,0,"LINESTRING (46.8882185 24.8280141, 46.887642 24.8272484, 46.8861645 24.82523)"
2023-02-02 11:00:00,0,"LINESTRING (46.8738913 24.8081055, 46.8748356 24.8094044)"
2023-02-02 18:00:00,0,"LINESTRING (46.7764595 24.7239086, 46.7758521 24.7235322)"
2023-02-02 21:00:00,2,"LINESTRING (24.7329848 46.7910191, 24.7328775 46.7908391)"
2023-02-02 23:00:00,0,"LINESTRING (46.7898362 24.7322478, 46.7897193 24.7321749, 46.7892511 24.731883)"
2023-02-03 18:00:00,0,"LINESTRING (46.7903348 24.7319722, 46.7904757 24.732059, 46.7909474 24.7323558)"
2023-02-03 18:00:00,0,"LINESTRING (46.8632825 24.7937287, 46.864223 24.7949994, 46.8643544 24.7951769)"
2023-02-03 19:00:00,1,"LINESTRING (46.8152622 24.7481664, 46.8138556 24.7472867)"
2023-02-03 21:00:00,2,"LINESTRING (24.8819408 46.9519529, 24.8836582 46.9535548)"
2023-02-03 22:00:00,0,"LINESTRING (46.7995818 24.7383117, 46.7991408 24.7380373)"
2023-02-04 18:00:00,2,"LINESTRING (24.7556766 46.8285164, 24.7557396 46.8286174)"
2023-02-04 18:00:00,2,"LINESTRING (24.7556766 46.8285164, 24.7557396 46.8286174)"
2023-02-04 19:00:00,0,"LINESTRING (46.7872368 24.7300587, 46.7872727 24.7300807)"
2023-02-04 21:00:00,2,"LINESTRING (24.8267645 46.8875269, 24.8269799 46.8876846)"
2023-02-04 23:00:00,1,"LINESTRING (46.885413 24.8238765, 46.8860579 24.8247576)"
2023-02-05 10:00:00,0,"LINESTRING (46.766544 24.7070473, 46.7671943 24.7061177, 46.7676715 24.7054355, 46.7677561 24.7053145)"
2023-02-05 12:00:00,0,"LINESTRING (46.8643978 24.7955693, 46.8638614 24.7948495)"
2023-02-05 18:00:00,2,"LINESTRING (24.7448405 46.811149, 24.7448846 46.8112141)"
2023-02-05 18:00:00,2,"LINESTRING (24.681143 46.69442614207436, 24.6815066 46.6952966)"
2023-02-06 10:00:00,0,"LINESTRING (46.7871959 24.7306225, 46.7869497 24.7304747)"
2023-02-06 16:00:00,0,"LINESTRING (46.6815619 24.6758238, 46.6820274 24.675941)"
2023-02-07 09:00:00,2,"LINESTRING (24.8822746 46.9520083, 24.8769373 46.9470261)"
2023-02-07 10:00:00,2,"LINESTRING (24.7239086 46.7764595, 24.7235322 46.7758521)"
2023-02-07 13:00:00,0,"LINESTRING (46.7630161 24.7113277, 46.7631557 24.711251, 46.7634132 24.7110873, 46.7636792 24.7109158, 46.7639625 24.7106506, 46.7641856 24.7103388, 46.7644123 24.7100184)"
2023-02-07 14:00:00,2,"LINESTRING (24.7006742 46.7394469, 24.7000425 46.7385328)"
2023-02-07 15:00:00,0,"LINESTRING (46.7817048 24.7271786, 46.7807731 24.7265977)"
2023-02-08 07:00:00,0,"LINESTRING (46.8004863 24.7382418, 46.8006352 24.7383321, 46.8009952 24.7385504, 46.8013524 24.738767, 46.8020239 24.7391742, 46.8024876 24.7394554, 46.802526 24.7394787, 46.8027189 24.739615, 46.8028206 24.7396868, 46.8030364 24.7398224, 46.8032695 24.7399599, 46.8038009 24.7403431, 46.8038642 24.7403887)"
